epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
0.0,0.0,37.6979866027832,374.41032319910386,37.6979866027832,1,4200.0,1050.0
1.0,0.0,37.6979866027832,174.43046121036306,37.75889587402344,2,4200.0,1050.0
2.0,0.0,36.26423263549805,158.36138916015625,36.26423263549805,3,4200.0,1050.0
3.0,0.0,33.94349670410156,149.4538969152114,33.94349670410156,4,4200.0,1050.0
4.0,0.0,31.91547203063965,140.4030259076287,31.91547203063965,5,4200.0,1050.0
5.0,0.0,29.912025451660156,131.43145348044004,29.912025451660156,6,4200.0,1050.0
6.0,0.0,27.238927841186523,119.54111929500804,27.238927841186523,7,4200.0,1050.0
7.0,0.0,24.178953170776367,106.78000416475184,24.178953170776367,8,4200.0,1050.0
8.0,0.0,20.71003532409668,93.08307782341453,20.71003532409668,9,4200.0,1050.0
9.0,0.0,17.29302406311035,78.6113577450023,17.29302406311035,10,4200.0,1050.0
10.0,0.0,14.946878433227539,66.21230405919692,14.946878433227539,11,4200.0,1050.0
11.0,0.0,13.214229583740234,57.44935832304113,13.214229583740234,12,4200.0,1050.0
12.0,0.0,11.883414268493652,50.76901514389936,11.883414268493652,13,4200.0,1050.0
13.0,0.0,10.791892051696777,45.30963448917164,10.791892051696777,14,4200.0,1050.0
14.0,0.0,9.64765453338623,40.803801592658544,9.64765453338623,15,4200.0,1050.0
15.0,0.0,8.644198417663574,36.15256702198702,8.644198417663574,16,4200.0,1050.0
16.0,0.0,7.907959938049316,32.626432979808136,7.907959938049316,17,4200.0,1050.0
17.0,0.0,7.192810535430908,29.398134007173425,7.192810535430908,18,4200.0,1050.0
18.0,0.0,6.658892631530762,27.843798581291647,6.77766227722168,19,4200.0,1050.0
19.0,0.0,5.686546802520752,23.798461016486673,5.686546802520752,20,4200.0,1050.0
20.0,0.0,4.856409549713135,19.83990467295927,4.856409549713135,21,4200.0,1050.0
21.0,0.0,4.13807487487793,16.751145250657025,4.13807487487793,22,4200.0,1050.0
22.0,0.0,3.669424295425415,14.651030933155733,3.7387092113494873,23,4200.0,1050.0
23.0,0.0,3.2342710494995117,12.389219003565172,3.251225233078003,24,4200.0,1050.0
24.0,0.0,2.8970725536346436,10.346308652092429,2.8970725536346436,25,4200.0,1050.0
25.0,0.0,2.6863627433776855,9.111244930940515,2.6863627433776855,26,4200.0,1050.0
26.0,0.0,2.514181613922119,8.585706514470717,2.514181613922119,27,4200.0,1050.0
27.0,0.0,2.3414764404296875,7.144385618322036,2.3414764404296875,28,4200.0,1050.0
28.0,0.0,2.1620519161224365,7.849184653338264,2.3008358478546143,29,4200.0,1050.0
29.0,0.0,2.029456853866577,6.1523888251360725,2.082444190979004,30,4200.0,1050.0
30.0,0.0,1.934558629989624,5.819968812605914,1.9437322616577148,31,4200.0,1050.0
31.0,0.0,1.8440585136413574,6.378386217005112,1.9257009029388428,32,4200.0,1050.0
32.0,0.0,1.7747070789337158,5.346647627213422,1.8626846075057983,33,4200.0,1050.0
33.0,0.0,1.7136784791946411,5.851439476013184,1.854886770248413,34,4200.0,1050.0
34.0,0.0,1.6640334129333496,4.492337086621453,1.6711620092391968,35,4200.0,1050.0
35.0,0.0,1.6114667654037476,4.088121035519769,1.6143834590911865,36,4200.0,1050.0
36.0,0.0,1.5599902868270874,3.9468588688794304,1.5599902868270874,37,4200.0,1050.0
37.0,0.0,1.5198642015457153,3.3387911319732666,1.5198642015457153,38,4200.0,1050.0
38.0,0.0,1.4971774816513062,3.7075927397784065,1.5272552967071533,39,4200.0,1050.0
39.0,0.0,1.4777591228485107,3.5880949216730453,1.4840284585952759,40,4200.0,1050.0
40.0,0.0,1.4602599143981934,3.3883855623357437,1.4702703952789307,41,4200.0,1050.0
41.0,0.0,1.4439271688461304,3.3743742213529697,1.4481624364852905,42,4200.0,1050.0
42.0,0.0,1.4304678440093994,3.3307887385873234,1.4487799406051636,43,4200.0,1050.0
43.0,0.0,1.4239943027496338,4.309401988983154,1.4835412502288818,44,4200.0,1050.0
44.0,0.0,1.4239943027496338,4.030633225160487,1.4378142356872559,45,4200.0,1050.0
45.0,0.0,1.415258765220642,3.7247110535116756,1.4298540353775024,46,4200.0,1050.0
46.0,0.0,1.415258765220642,3.2801413536071777,1.4169827699661255,47,4200.0,1050.0
